index,simulation_id,step,regime,static_return,static_wealth,dynamic_return,dynamic_wealth
0,0,1,0,0.00024000000000015117,1.0002400000000002,0.0004000000000001558,1.0004000000000002
1,0,2,1,-0.001760000000000006,0.9984795776000003,0.0006150000000000378,1.0010152460000001
2,0,3,1,0.002240000000000153,1.0007161718538244,0.0025500000000001854,1.0035678348773005
3,0,4,1,0.0022399999999999976,1.0029577760787771,0.0011349999999999416,1.004706884369886
4,0,5,1,-0.0017599999999999396,1.0011925703928786,0.0006149999999999713,1.0053247791037736
5,0,6,0,0.0002399999999999958,1.0014328566097728,4.999999999997812e-05,1.0053750453427286
6,0,7,0,-0.0017600000000000727,0.9996703347821395,-0.00249000000000007,1.002871661479825
7,0,8,2,-0.0017599999999999391,0.997910914992923,-0.0005650000000000042,1.0023050389910888
8,0,9,2,-0.001760000000000006,0.9961545917825354,-0.0005650000000000486,1.0017387366440589
9,0,10,2,0.0002399999999999514,0.9963936688845633,0.00039999999999995595,1.0021394321387165
10,0,11,2,0.002240000000000153,0.9986255907028649,0.0013950000000000793,1.00353741664655
11,0,12,0,0.00023999999999998475,0.9988652608446337,0.00039999999999997817,1.0039388316132087
12,0,13,1,0.002239999999999953,1.0011027190289257,0.001134999999999864,1.0050783021870897
13,0,14,1,-0.0017600000000002058,0.9993407782434346,0.0006149999999998602,1.0056964253429346
14,0,15,1,0.0022400000000002192,1.0015793015867,0.0011350000000001637,1.006837890785699
15,0,16,1,-0.001760000000000006,0.9998165220159074,0.0006149999999999435,1.0074570960885323
16,0,17,1,-0.0017599999999997839,0.9980568449371596,0.0006150000000001655,1.008076682202627
17,0,18,1,0.002240000000000153,1.000292492269819,0.0025500000000001854,1.010647277742244
18,0,19,0,0.00023999999999981816,1.0005325624679637,0.00039999999999980047,1.0110515366533406
19,0,20,0,0.0022400000000000198,1.002773755407892,0.0025500000000000297,1.0136297180718066
20,0,21,0,-0.0017599999999998728,1.0010088735983742,-0.0029399999999998364,1.0106496467006756
21,1,1,0,0.0002399999999999514,1.00024,0.00039999999999995595,1.0004
22,1,2,0,0.0022399999999999976,1.0024805376,0.0025500000000000076,1.00295102
23,1,3,0,-0.001760000000000006,1.0007161718538242,-0.002489999999999992,1.0004536719602
24,1,4,0,0.0002399999999999958,1.0009563437350693,0.0003999999999999781,1.000853853428984
25,1,5,0,-0.001760000000000006,0.9991946605700955,-0.002489999999999992,0.9983617273339458
26,1,6,0,0.00023999999999998475,0.9994344672886324,0.00039999999999997817,0.9987610720248793
27,1,7,1,-0.001760000000000006,0.9976754626262044,0.0006150000000000378,0.9993753100841746
28,1,8,1,0.0022399999999999976,0.9999102556624871,0.0011349999999999416,1.00050960106112
29,1,9,1,0.0022400000000000198,1.0021500546351712,0.001134999999999986,1.0016451794583243
30,1,10,1,-0.0017599999999999396,1.0003862705390132,0.0006149999999999713,1.0022611912436912
31,1,11,1,-0.001760000000000006,0.9986255907028645,0.0006149999999999435,1.002877581876306
32,1,12,1,-0.0017599999999998728,0.9968680096632275,0.000614999999999999,1.0034943515891601
33,1,13,1,0.0022400000000000198,0.9991009940048732,0.001134999999999986,1.0046333176782136
34,1,14,0,0.0002399999999999514,0.9993407782434344,0.00039999999999995595,1.005035171005285
